Text,Code,Label,Rank,Relevance
"That don't like him because that is what they were told to do. Just like the Germans disliked Jews in the 30s, they were told Jews were bad so that is what they thought.",No categories found,,,
"Bruh that fat bitch is so angry, she's probably hungry for some Kfc",No categories found,,,
"The fatty who ""can take care of herself"" is what's wrong with society... She needs to take care a gym membership 😂",No categories found,,,
I'm gay and the gay people in these videos are fags,No categories found,,,
Interesting twist with a woman asking the questions 🙃,No categories found,,,
I used to be a dumb ass like those girls and then I realized how my mom was treated. Never worked and took care of the house. Satisfied my dad. I don’t know where I got these ideas of feminism but I guess it was my generation. I started listening to Andrew Tate and my relationship improve. I stay home cook clean service my man and he provides and protects. What a big lie feminism is. I’m more than happy￼ and so is my man. Our relationship has never been better and I will show my future son Andrew Tate,1009000,"arts, culture and entertainment - library and museum",1,0.14381844
Have you noticed it’s all the weird fat looking ones that hate Tate. 🤣🤣🤣🤣🤣,No categories found,,,
"This obese lady said if someone pull's a knife on her, she's going to run.. Good luck with that",8002000,human interest - curiosity,1,0.15257056
Did the fat girl say she could run 💀,14024000,social issue - people,1,0.069893725
Twitter people,1027000,"arts, culture and entertainment - internet",1,0.17796026
"If they've got coloured hair, run.",No categories found,,,
“I can take care of my self” - morbidly obese girl,202 - Engine internal error,,,
I don’t think that fat girl cal take care of herself😂😂,202 - Engine internal error,,,
"It's always the rainbow hair, fat pig, 5 inch eye lashes and soft boy trying so hard to be sjw hahahaa, you can tell just by their looks. they have the same patent.",202 - Engine internal error,,,
"fat chick, Oh let me google my reasons for why I hate the tate so I can confirm my bias via posted crap from The Guardian who does my thinking for me.",202 - Engine internal error,,,
“I’m not anyone’s property.” Honey I don’t think anyone wants to own that property 🤣,202 - Engine internal error,,,
"I am a woman, a wife and a mother of two boys and I am happy our boys listen to him. I follow him too.",202 - Engine internal error,,,
fat girl sad she would run as fast as she can.,202 - Engine internal error,,,
"All I hear in my head is Sneako screaming “BOT!”
",202 - Engine internal error,,,
Fat girl wanna run as fast as she can😆😆 good luvk with that😆😂🤪,202 - Engine internal error,,,
The fat woman is the world's biggest bullshitter 😂,202 - Engine internal error,,,
NPC's everywhere! I can feel my IQ dropping just watching them...damn,202 - Engine internal error,,,
"If they don't strip naked, I don't care.",202 - Engine internal error,,,
"Well at least the Italian govt isn't arresting their protest leaders and freezing all bank accounts associated with their fundraising efforts, like Canada did to their protesting truckers in Ottawa.",202 - Engine internal error,,,
"I bet if Soros was taken out, most of this stupid nonsense would stop",202 - Engine internal error,,,
"Just one of the many distractions from what is really happening in Europe. It's falling apart, attacked ruthlessly by the US and blamed on Russia. You just can't write this stuff.",202 - Engine internal error,,,
They take themselves seriously?,202 - Engine internal error,,,
maybe instead of dressing like dolls/psuedo-nude they should dress like ladies,202 - Engine internal error,,,
This is one of many us/Israeli sponsored debauchery shit shows to foment unrest.,202 - Engine internal error,,,
"""gender violence""? wtf are they talking about; to their credit they're not butt naked with 10 lbs. of body hair hanging off of em; the woke mind virus infecting western countries all over the world",14022000,social issue - abusive behaviour,1,0.07738921
Lol what is gender violence anyway. I suppose it's a good distraction from the real problems going on in Europe.,14022000,social issue - abusive behaviour,1,0.3115702
bunch of crazys,15019000,sport - cycling,1,0.057235293
The million dollar question is why are women attracted to the bad boys? Women need to be more honest with themselves.,8002000,human interest - curiosity,1,0.12715408
Those are some fine daughters they've been raising in Europe. 😕,2004001,"crime, law and justice - punishment - fine",1,0.1870216
Feminism destroyed the family.,14006000,social issue - family,1,0.0995723
"stop violence against women? thats possible in their brains? lol ok well stop violence against men too, thanks. hopefully your utopia is only a couple more protests away.
mine is when Jesus comes back",16000000,"unrest, conflicts and war",1,0.2337493
"They look possessed by Satan. They're protesting their own kind beating them?. Such hypocrisy on the left wing nutjobs. It's not conservatives beating you up, we just wanna work and enjoy life. These mentally challenged individuals are under CIA Mind Control.",2001006,"crime, law and justice - crime - assault (general)",1,0.1495696
"How stupid!!! It amazes me how foolish women still are, I just can't get over it, we're going backwards.....",13009000,science and technology - science (general),1,0.05565257
It looks like that show naked and afraid😂,No categories found,,,
lol wtf,No categories found,,,
People of the world who haven't lost their minds we're going to have to make a new country for ourselves and leave this insanity to consume itself,7017001,health - illness - mental illness,1,0.102768265
Fighting the Patriarchy one hairy armpit at a time,No categories found,,,
Is this a Broadway audition?,No categories found,,,
Someone ought to spank those girls.,No categories found,,,
"where is the violence against women in Rome coming from ??? that would be a good precursor to this video , theres nothing like knowing whats going on here RT",No categories found,,,
"Angry Mob against violence sure, I doubt this bunch are victims of anything other than the propaganda of division and hatred. Aggression of any kind is unacceptable in a civilized society and it's only with Love, Light and Truth that a United Society can overcome the obstacles of EVIL. I will note though, Semi naked women dancing around is more of a fertility ritual than a protest.",16000000,"unrest, conflicts and war",1,0.16146946
Once again another group of psychopath liberals that have lost their mind,No categories found,,,
shoot every feminist in the vagina,15051000,sport - shooting,1,0.050597172
round them up and send them to Pakistan...,11000000,politics,1,0.057740454
what bored zionist is funding this colourless revolution,No categories found,,,
"I like naked women protest, ... keep it going!!",14024000,social issue - people,1,0.06474607
Are these the same ones that protect Muslim extremist?,No categories found,,,
"This is beyond ridicules. US western campaigns at tax payers expense. This is only about distraction and chaos and creating color revolutions, nothing to see here.",No categories found,,,
"pack them up, and send them to Saudi Arabia",14000000,social issue,1,0.051062748
Makes someone wanna be a sexist ya know?,No categories found,,,
"All Im getting from their protests is ""women are sex toys, here let us show you how sexy we are"". and I disagree with that, but that looks like the message theyre trying to get across.",4007012,"economy, business and finance - consumer goods - toy",1,0.05523833
Same Soros funded useless idiots who want more 80IQ muslim men around their vulnerable little girls and boys and grannies.,No categories found,,,
LOLOL these comments are epic,No categories found,,,
Do they realise they looklike a group of monkeys ????,No categories found,,,
if only they had a father to smack em right,No categories found,,,
"If you need to get naked to make a point and send a message out, you are doing it all wrong",No categories found,,,
What do you tell a woman with two black eyes? NOTHING ....you've told her twice already!,14024000,social issue - people,1,0.08024846
"Angry Mob against violence sure, I doubt this bunch are victims of anything other than the propaganda of division and hatred. Aggression of any kind is unacceptable in a civilized society and it's only with Love, Light and Truth that a United Society can overcome the obstacles of EVIL. I will note though, Semi naked women dancing around is more of a fertility ritual than a protest.",16000000,"unrest, conflicts and war",1,0.16146946
Any stats? Or is it “all around” and “under reported?”,No categories found,,,
"So effective - I was raised to never hit a woman but watching this really does a great job of promoting gender violence; if I was there in person Id probably act instinctively out of self defence. I wonder if any of these middle class art students have heard of the law, legislation and the political process.... Because this is not how the suffragettes did it for a reason. They werent allowed to be part of the political process so thery needed to be taken seriously. This is the exact opposite because you are not them. You are tools of the state to sow unnecessary division.",14022000,social issue - abusive behaviour,1,0.25388086
"Gentleman, be careful, these crazy bitches are most likely single and sooner or later will be looking for a man!",No categories found,,,
Feminists don't give a crap about women rights or they would kick trannies and muslims out,2007000,"crime, law and justice - justice and rights",1,0.20019409
"Of course! Clearly, the muggers, rapists, wife-beaters, etc, of Italy will mend their ways when they finally get the message that women don't like being assaulted. ""D'oh!"" lol",14022000,social issue - abusive behaviour,1,0.087157555
They need a good gang raping.,14022000,social issue - abusive behaviour,1,0.06397888
"Cause in most cases, the bad boys have the money they've ripped of others or gained it by bullying. Females think they can control said bad boy and help them spend the ill gotten loot. But too late, realise they married a bully who doesn't think anything of belting them around. They stick around cause they wish to hang onto the lifestyle they're accustomed too, still believing they can change them. Takes a few years before they realise, they can't change them, by then the damage has been done.",No categories found,,,
"Because you shud Meet Him, He Loves Me Really!",No categories found,,,
They look better covered up.,8000000,human interest,1,0.052827366
