Text,Code,Label,Rank,Relevance
I used to be a dumb ass like those girls and then I realized how my mom was treated. Never worked and took care of the house. Satisfied my dad. I don’t know where I got these ideas of feminism but I guess it was my generation. I started listening to Andrew Tate and my relationship improve. I stay home cook clean service my man and he provides and protects. What a big lie feminism is. I’m more than happy￼ and so is my man. Our relationship has never been better and I will show my future son Andrew Tate,No categories found,,,
Have you noticed it’s all the weird fat looking ones that hate Tate. 🤣🤣🤣🤣🤣,EventsAndAttractions>Museums&Galleries,Events and Attractions>Museums and Galleries,1,1
"This obese lady said if someone pull's a knife on her, she's going to run.. Good luck with that",MedicalHealth>DiseasesAndConditions,Medical Health>Diseases and Conditions,1,1
Did the fat girl say she could run 💀,No categories found,,,
Twitter people,Technology&Computing,Technology and Computing,1,1
"If they've got coloured hair, run.",No categories found,,,
“I can take care of my self” - morbidly obese girl,No categories found,,,
I don’t think that fat girl cal take care of herself😂😂,HealthyLiving>Nutrition,Healthy Living>Nutrition,1,1
"It's always the rainbow hair, fat pig, 5 inch eye lashes and soft boy trying so hard to be sjw hahahaa, you can tell just by their looks. they have the same patent.",HealthyLiving>Nutrition,Healthy Living>Nutrition,1,1
"fat chick, Oh let me google my reasons for why I hate the tate so I can confirm my bias via posted crap from The Guardian who does my thinking for me.",EventsAndAttractions>Museums&Galleries,Events and Attractions>Museums and Galleries,1,1
“I’m not anyone’s property.” Honey I don’t think anyone wants to own that property 🤣,No categories found,,,
"I am a woman, a wife and a mother of two boys and I am happy our boys listen to him. I follow him too.",No categories found,,,
fat girl sad she would run as fast as she can.,No categories found,,,
"All I hear in my head is Sneako screaming “BOT!”
",No categories found,,,
Fat girl wanna run as fast as she can😆😆 good luvk with that😆😂🤪,No categories found,,,
The fat woman is the world's biggest bullshitter 😂,No categories found,,,
NPC's everywhere! I can feel my IQ dropping just watching them...damn,No categories found,,,
"If they don't strip naked, I don't care.",No categories found,,,
"Well at least the Italian govt isn't arresting their protest leaders and freezing all bank accounts associated with their fundraising efforts, like Canada did to their protesting truckers in Ottawa.",NewsAndPolitics>Politics,News and Politics>Politics,1,1
"I bet if Soros was taken out, most of this stupid nonsense would stop",No categories found,,,
"Just one of the many distractions from what is really happening in Europe. It's falling apart, attacked ruthlessly by the US and blamed on Russia. You just can't write this stuff.",No categories found,,,
They take themselves seriously?,202 - Engine internal error,,,
maybe instead of dressing like dolls/psuedo-nude they should dress like ladies,202 - Engine internal error,,,
This is one of many us/Israeli sponsored debauchery shit shows to foment unrest.,202 - Engine internal error,,,
"""gender violence""? wtf are they talking about; to their credit they're not butt naked with 10 lbs. of body hair hanging off of em; the woke mind virus infecting western countries all over the world",202 - Engine internal error,,,
Lol what is gender violence anyway. I suppose it's a good distraction from the real problems going on in Europe.,202 - Engine internal error,,,
bunch of crazys,202 - Engine internal error,,,
The million dollar question is why are women attracted to the bad boys? Women need to be more honest with themselves.,202 - Engine internal error,,,
Those are some fine daughters they've been raising in Europe. 😕,202 - Engine internal error,,,
Feminism destroyed the family.,202 - Engine internal error,,,
"stop violence against women? thats possible in their brains? lol ok well stop violence against men too, thanks. hopefully your utopia is only a couple more protests away.
mine is when Jesus comes back",202 - Engine internal error,,,
"They look possessed by Satan. They're protesting their own kind beating them?. Such hypocrisy on the left wing nutjobs. It's not conservatives beating you up, we just wanna work and enjoy life. These mentally challenged individuals are under CIA Mind Control.",202 - Engine internal error,,,
"How stupid!!! It amazes me how foolish women still are, I just can't get over it, we're going backwards.....",202 - Engine internal error,,,
It looks like that show naked and afraid😂,202 - Engine internal error,,,
lol wtf,No categories found,,,
People of the world who haven't lost their minds we're going to have to make a new country for ourselves and leave this insanity to consume itself,No categories found,,,
Fighting the Patriarchy one hairy armpit at a time,No categories found,,,
Is this a Broadway audition?,No categories found,,,
Someone ought to spank those girls.,No categories found,,,
"where is the violence against women in Rome coming from ??? that would be a good precursor to this video , theres nothing like knowing whats going on here RT",No categories found,,,
"Angry Mob against violence sure, I doubt this bunch are victims of anything other than the propaganda of division and hatred. Aggression of any kind is unacceptable in a civilized society and it's only with Love, Light and Truth that a United Society can overcome the obstacles of EVIL. I will note though, Semi naked women dancing around is more of a fertility ritual than a protest.",FineArt>Dance,Fine Art>Dance,1,1
Once again another group of psychopath liberals that have lost their mind,MedicalHealth>DiseasesAndConditions,Medical Health>Diseases and Conditions,1,1
shoot every feminist in the vagina,HealthyLiving>WomensHealth,Healthy Living>Women's Health,1,1
round them up and send them to Pakistan...,No categories found,,,
what bored zionist is funding this colourless revolution,No categories found,,,
"I like naked women protest, ... keep it going!!",NewsAndPolitics>Politics,News and Politics>Politics,1,1
Are these the same ones that protect Muslim extremist?,Religion&Spirituality>Islam,Religion and Spirituality>Islam,1,1
"This is beyond ridicules. US western campaigns at tax payers expense. This is only about distraction and chaos and creating color revolutions, nothing to see here.",No categories found,,,
"pack them up, and send them to Saudi Arabia",No categories found,,,
Makes someone wanna be a sexist ya know?,No categories found,,,
"All Im getting from their protests is ""women are sex toys, here let us show you how sexy we are"". and I disagree with that, but that looks like the message theyre trying to get across.",NewsAndPolitics>Politics,News and Politics>Politics,1,1
Same Soros funded useless idiots who want more 80IQ muslim men around their vulnerable little girls and boys and grannies.,Religion&Spirituality>Islam,Religion and Spirituality>Islam,1,1
LOLOL these comments are epic,No categories found,,,
Do they realise they looklike a group of monkeys ????,No categories found,,,
if only they had a father to smack em right,No categories found,,,
"If you need to get naked to make a point and send a message out, you are doing it all wrong",No categories found,,,
What do you tell a woman with two black eyes? NOTHING ....you've told her twice already!,No categories found,,,
"Angry Mob against violence sure, I doubt this bunch are victims of anything other than the propaganda of division and hatred. Aggression of any kind is unacceptable in a civilized society and it's only with Love, Light and Truth that a United Society can overcome the obstacles of EVIL. I will note though, Semi naked women dancing around is more of a fertility ritual than a protest.",FineArt>Dance,Fine Art>Dance,1,1
Any stats? Or is it “all around” and “under reported?”,No categories found,,,
"So effective - I was raised to never hit a woman but watching this really does a great job of promoting gender violence; if I was there in person Id probably act instinctively out of self defence. I wonder if any of these middle class art students have heard of the law, legislation and the political process.... Because this is not how the suffragettes did it for a reason. They werent allowed to be part of the political process so thery needed to be taken seriously. This is the exact opposite because you are not them. You are tools of the state to sow unnecessary division.",NewsAndPolitics>Politics,News and Politics>Politics,1,4
"Gentleman, be careful, these crazy bitches are most likely single and sooner or later will be looking for a man!",No categories found,,,
Feminists don't give a crap about women rights or they would kick trannies and muslims out,No categories found,,,
"Of course! Clearly, the muggers, rapists, wife-beaters, etc, of Italy will mend their ways when they finally get the message that women don't like being assaulted. ""D'oh!"" lol",NewsAndPolitics>Crime,News and Politics>Crime,1,1
They need a good gang raping.,NewsAndPolitics>Crime,News and Politics>Crime,1,1
"Cause in most cases, the bad boys have the money they've ripped of others or gained it by bullying. Females think they can control said bad boy and help them spend the ill gotten loot. But too late, realise they married a bully who doesn't think anything of belting them around. They stick around cause they wish to hang onto the lifestyle they're accustomed too, still believing they can change them. Takes a few years before they realise, they can't change them, by then the damage has been done.",No categories found,,,
"Because you shud Meet Him, He Loves Me Really!",No categories found,,,
They look better covered up.,No categories found,,,
