Text,Polarity,Agreement,Subjectivity,Confidence,Irony
Freddo is about as masculine as Freddo. Lemon and Anderson? Masculine? More like fairies.,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC
"""As we say in the female community"" - I laughed so hard at that, I had to pause it! I don't think anyone of us on here is shocked that cnn is a sausage fest.

",P,AGREEMENT,SUBJECTIVE,92,NONIRONIC
Nothing like when the Left get their own medicine handed back to them.,N,AGREEMENT,OBJECTIVE,92,NONIRONIC
Lemon and Cooper are Men?Could have fooled me.,N,AGREEMENT,SUBJECTIVE,100,NONIRONIC
as well you should be. mmmhmmmm.,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC
Best suggestion I have heard EVER!,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC
Just assuming the gender of those around you is racist. I'll bet a few of them identify as fish. 🐡,N+,AGREEMENT,OBJECTIVE,100,NONIRONIC
"Lol. Nothing new, nothing shocking. Lol! Jeff transitioning? Lol !",P,AGREEMENT,SUBJECTIVE,92,NONIRONIC
Cry me a river propaganda wh*re,N,AGREEMENT,SUBJECTIVE,100,NONIRONIC
"I think a lot of commentors have missed the point. CNN lectures against sexism, but apparently practices it. If all of those men are really these best people for those jobs, fine, but is it not a little suspicious that all of those positions are filled by men given their company's alleged views?",N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC
Get it Tuck!,202 - Engine internal error,,,,
Tucker is a HOOT !!!,202 - Engine internal error,,,,
Love watching Tucker.He makes me laugh 😅,202 - Engine internal error,,,,
😂 hilarious 🤣,202 - Engine internal error,,,,
i love Tucker..this is great,202 - Engine internal error,,,,
"That's absolutely hilarious. Thanks for the laugh, Tucker.",202 - Engine internal error,,,,
"Seems like a classic case of ""Do as I say not as I do""",202 - Engine internal error,,,,
The fat 1 said she can take care of herself 🤭 😂😂😂😂,202 - Engine internal error,,,,
It’s always the ugly girls 🤣,202 - Engine internal error,,,,
Some of these people are stupid as hell 😭😂especially the girls,202 - Engine internal error,,,,
"What a bunch of dorks, they can't even express a single decent opinion.",202 - Engine internal error,,,,
Looks like woke Brits are as clueless as woke Americans.,202 - Engine internal error,,,,
She did great finding all these rejects and exposing their views to the world 🔥,202 - Engine internal error,,,,
"This is shocking.. everyone just sheep.. I like him, he speaks facts",202 - Engine internal error,,,,
How can humans be this brain dead?? The interviewer literally destroyed them and proved them wrong,N,AGREEMENT,OBJECTIVE,100,NONIRONIC
"It's a trend, only beautiful women like Andrew Tate.",P,AGREEMENT,OBJECTIVE,98,NONIRONIC
She’s amazing,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC
These people's brains look like there about to explode.,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC
Big fan of Layah. Probs to her for doing this.,P,AGREEMENT,OBJECTIVE,98,NONIRONIC
everything andrew had said is true. and tbh it is very easy to lie to a woman. it is easy to get woman to believe in something that isn't true. they're submissive creatures and easier to get them the other side compared to a actual well thinking man.,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC
That girl is fit,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC
Edits are 🔥,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC
I started watching some of Andrew's stuff because my 18 yr old daughter was telling me what a misogynistic guy he was. i watched some of his videos in full because of this. I thought a lot of his view points were good. I love being married to a strong masculine man who protects our family. I like that Andrew is encouraging the masculine in young men again. we need our strong men to keep our countries strong. I don't listen to him a lot because I'm not his target market not interested in fast cars and hot chicks haha. he's doing a great job,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC
How is that fat whale running away from a knife???????????,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC
always the 10s defending tate,P,AGREEMENT,OBJECTIVE,100,NONIRONIC
"That chick was saying run as fast as you can, she hasn't ran in 15 years 😂.

Tate brothers🫡, mad love and appreciation.",NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC
"The 350 lbs girl says no man will own her, what man even wants to talk to you in the first place?",NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC
fat people talking about taking care of themselves is so funny,P,AGREEMENT,SUBJECTIVE,97,NONIRONIC
No one wants the first hippo on the left… big bitch,P+,AGREEMENT,SUBJECTIVE,90,NONIRONIC
"I hope rumble takes over youtube, it’s already better",P,AGREEMENT,SUBJECTIVE,90,IRONIC
"Forgive me god for saying this: ""Of course she doesn't like Andrew Tate.. she's fat af...""",N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC
All these ugly ass women don’t like Tate. Figures.,N,AGREEMENT,SUBJECTIVE,92,NONIRONIC
“I can take care of myself thank you very much” Except for your body you fat bitch,N,DISAGREEMENT,SUBJECTIVE,91,NONIRONIC
That fat thing at the start will never find anyone of any kind of respect,N,AGREEMENT,OBJECTIVE,92,NONIRONIC
I mean just look at that fat 300lb silverback gorilla feminist 😂 clearly can’t take care of herself,NEU,DISAGREEMENT,OBJECTIVE,83,NONIRONIC
"That don't like him because that is what they were told to do. Just like the Germans disliked Jews in the 30s, they were told Jews were bad so that is what they thought.",N,AGREEMENT,SUBJECTIVE,82,IRONIC
"Bruh that fat bitch is so angry, she's probably hungry for some Kfc",N,AGREEMENT,SUBJECTIVE,100,NONIRONIC
"The fatty who ""can take care of herself"" is what's wrong with society... She needs to take care a gym membership 😂",P,DISAGREEMENT,OBJECTIVE,91,NONIRONIC
I'm gay and the gay people in these videos are fags,N,AGREEMENT,OBJECTIVE,97,NONIRONIC
Interesting twist with a woman asking the questions 🙃,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC
I used to be a dumb ass like those girls and then I realized how my mom was treated. Never worked and took care of the house. Satisfied my dad. I don’t know where I got these ideas of feminism but I guess it was my generation. I started listening to Andrew Tate and my relationship improve. I stay home cook clean service my man and he provides and protects. What a big lie feminism is. I’m more than happy￼ and so is my man. Our relationship has never been better and I will show my future son Andrew Tate,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC
Have you noticed it’s all the weird fat looking ones that hate Tate. 🤣🤣🤣🤣🤣,NEU,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC
"This obese lady said if someone pull's a knife on her, she's going to run.. Good luck with that",P,AGREEMENT,SUBJECTIVE,100,NONIRONIC
Did the fat girl say she could run 💀,N,AGREEMENT,OBJECTIVE,100,NONIRONIC
Twitter people,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC
"If they've got coloured hair, run.",NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC
“I can take care of my self” - morbidly obese girl,P,AGREEMENT,OBJECTIVE,97,NONIRONIC
I don’t think that fat girl cal take care of herself😂😂,N,AGREEMENT,SUBJECTIVE,89,NONIRONIC
"It's always the rainbow hair, fat pig, 5 inch eye lashes and soft boy trying so hard to be sjw hahahaa, you can tell just by their looks. they have the same patent.",NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC
"fat chick, Oh let me google my reasons for why I hate the tate so I can confirm my bias via posted crap from The Guardian who does my thinking for me.",N,AGREEMENT,SUBJECTIVE,100,NONIRONIC
“I’m not anyone’s property.” Honey I don’t think anyone wants to own that property 🤣,N,AGREEMENT,SUBJECTIVE,92,NONIRONIC
"I am a woman, a wife and a mother of two boys and I am happy our boys listen to him. I follow him too.",P,AGREEMENT,SUBJECTIVE,100,NONIRONIC
fat girl sad she would run as fast as she can.,N,AGREEMENT,SUBJECTIVE,100,NONIRONIC
"All I hear in my head is Sneako screaming “BOT!”
",NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC
Fat girl wanna run as fast as she can😆😆 good luvk with that😆😂🤪,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC
The fat woman is the world's biggest bullshitter 😂,N,DISAGREEMENT,OBJECTIVE,94,NONIRONIC
NPC's everywhere! I can feel my IQ dropping just watching them...damn,N+,AGREEMENT,OBJECTIVE,100,NONIRONIC
"If they don't strip naked, I don't care.",NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC
"Well at least the Italian govt isn't arresting their protest leaders and freezing all bank accounts associated with their fundraising efforts, like Canada did to their protesting truckers in Ottawa.",P,AGREEMENT,OBJECTIVE,92,NONIRONIC
"I bet if Soros was taken out, most of this stupid nonsense would stop",N+,AGREEMENT,SUBJECTIVE,98,NONIRONIC
"Just one of the many distractions from what is really happening in Europe. It's falling apart, attacked ruthlessly by the US and blamed on Russia. You just can't write this stuff.",N,AGREEMENT,OBJECTIVE,100,NONIRONIC
They take themselves seriously?,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC
maybe instead of dressing like dolls/psuedo-nude they should dress like ladies,NONE,AGREEMENT,SUBJECTIVE,100,NONIRONIC
This is one of many us/Israeli sponsored debauchery shit shows to foment unrest.,N+,AGREEMENT,SUBJECTIVE,100,NONIRONIC
"""gender violence""? wtf are they talking about; to their credit they're not butt naked with 10 lbs. of body hair hanging off of em; the woke mind virus infecting western countries all over the world",N,AGREEMENT,OBJECTIVE,100,NONIRONIC
Lol what is gender violence anyway. I suppose it's a good distraction from the real problems going on in Europe.,N,DISAGREEMENT,SUBJECTIVE,92,NONIRONIC
bunch of crazys,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC
The million dollar question is why are women attracted to the bad boys? Women need to be more honest with themselves.,NEU,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC
Those are some fine daughters they've been raising in Europe. 😕,NEU,DISAGREEMENT,OBJECTIVE,94,NONIRONIC
Feminism destroyed the family.,N,AGREEMENT,OBJECTIVE,100,NONIRONIC
"stop violence against women? thats possible in their brains? lol ok well stop violence against men too, thanks. hopefully your utopia is only a couple more protests away.
mine is when Jesus comes back",NEU,DISAGREEMENT,SUBJECTIVE,92,NONIRONIC
"They look possessed by Satan. They're protesting their own kind beating them?. Such hypocrisy on the left wing nutjobs. It's not conservatives beating you up, we just wanna work and enjoy life. These mentally challenged individuals are under CIA Mind Control.",N,DISAGREEMENT,OBJECTIVE,94,NONIRONIC
"How stupid!!! It amazes me how foolish women still are, I just can't get over it, we're going backwards.....",NEU,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC
It looks like that show naked and afraid😂,NEU,DISAGREEMENT,OBJECTIVE,94,NONIRONIC
lol wtf,N,AGREEMENT,SUBJECTIVE,100,NONIRONIC
People of the world who haven't lost their minds we're going to have to make a new country for ourselves and leave this insanity to consume itself,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC
Fighting the Patriarchy one hairy armpit at a time,P,AGREEMENT,OBJECTIVE,100,NONIRONIC
Is this a Broadway audition?,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC
Someone ought to spank those girls.,N,AGREEMENT,OBJECTIVE,100,NONIRONIC
"where is the violence against women in Rome coming from ??? that would be a good precursor to this video , theres nothing like knowing whats going on here RT",NEU,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC
"Angry Mob against violence sure, I doubt this bunch are victims of anything other than the propaganda of division and hatred. Aggression of any kind is unacceptable in a civilized society and it's only with Love, Light and Truth that a United Society can overcome the obstacles of EVIL. I will note though, Semi naked women dancing around is more of a fertility ritual than a protest.",N,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC
Once again another group of psychopath liberals that have lost their mind,N,AGREEMENT,SUBJECTIVE,100,NONIRONIC
shoot every feminist in the vagina,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC
round them up and send them to Pakistan...,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC
what bored zionist is funding this colourless revolution,P,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC
"I like naked women protest, ... keep it going!!",P,AGREEMENT,SUBJECTIVE,90,IRONIC
Are these the same ones that protect Muslim extremist?,P,AGREEMENT,OBJECTIVE,100,NONIRONIC
"This is beyond ridicules. US western campaigns at tax payers expense. This is only about distraction and chaos and creating color revolutions, nothing to see here.",N,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC
"pack them up, and send them to Saudi Arabia",NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC
Makes someone wanna be a sexist ya know?,N,AGREEMENT,OBJECTIVE,100,NONIRONIC
"All Im getting from their protests is ""women are sex toys, here let us show you how sexy we are"". and I disagree with that, but that looks like the message theyre trying to get across.",202 - Engine internal error,,,,
Same Soros funded useless idiots who want more 80IQ muslim men around their vulnerable little girls and boys and grannies.,202 - Engine internal error,,,,
LOLOL these comments are epic,202 - Engine internal error,,,,
Do they realise they looklike a group of monkeys ????,202 - Engine internal error,,,,
if only they had a father to smack em right,202 - Engine internal error,,,,
"If you need to get naked to make a point and send a message out, you are doing it all wrong",202 - Engine internal error,,,,
What do you tell a woman with two black eyes? NOTHING ....you've told her twice already!,202 - Engine internal error,,,,
"Angry Mob against violence sure, I doubt this bunch are victims of anything other than the propaganda of division and hatred. Aggression of any kind is unacceptable in a civilized society and it's only with Love, Light and Truth that a United Society can overcome the obstacles of EVIL. I will note though, Semi naked women dancing around is more of a fertility ritual than a protest.",202 - Engine internal error,,,,
Any stats? Or is it “all around” and “under reported?”,202 - Engine internal error,,,,
"So effective - I was raised to never hit a woman but watching this really does a great job of promoting gender violence; if I was there in person Id probably act instinctively out of self defence. I wonder if any of these middle class art students have heard of the law, legislation and the political process.... Because this is not how the suffragettes did it for a reason. They werent allowed to be part of the political process so thery needed to be taken seriously. This is the exact opposite because you are not them. You are tools of the state to sow unnecessary division.",202 - Engine internal error,,,,
"Gentleman, be careful, these crazy bitches are most likely single and sooner or later will be looking for a man!",202 - Engine internal error,,,,
Feminists don't give a crap about women rights or they would kick trannies and muslims out,202 - Engine internal error,,,,
"Of course! Clearly, the muggers, rapists, wife-beaters, etc, of Italy will mend their ways when they finally get the message that women don't like being assaulted. ""D'oh!"" lol",N,DISAGREEMENT,SUBJECTIVE,76,IRONIC
They need a good gang raping.,N+,AGREEMENT,SUBJECTIVE,100,NONIRONIC
"Cause in most cases, the bad boys have the money they've ripped of others or gained it by bullying. Females think they can control said bad boy and help them spend the ill gotten loot. But too late, realise they married a bully who doesn't think anything of belting them around. They stick around cause they wish to hang onto the lifestyle they're accustomed too, still believing they can change them. Takes a few years before they realise, they can't change them, by then the damage has been done.",P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC
"Because you shud Meet Him, He Loves Me Really!",P+,AGREEMENT,SUBJECTIVE,100,NONIRONIC
They look better covered up.,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC
